domain,title_or_summary,verdict,reason,source_file,metadata_json,created_at
GeoAI and Urban Planning,Predicting Gentrification Risk via High-Resolution GeoAI Spatiotemporal Modeling of Building Façade Changes,selected,,output/topic_screening.json,"{""score"": 88, ""gap_type"": ""Problem Gap""}",2026-03-12T16:54:15.372368
GeoAI and Urban Planning,GeoAI-driven Analysis of Public Transit Accessibility and Social Equity in Rapidly Expanding Metropolitan Areas,selected,,output/topic_screening.json,"{""score"": 85, ""gap_type"": ""Method Gap""}",2026-03-12T16:54:15.373364
GeoAI and Urban Planning,GeoAI-driven Assessment of Public Infrastructure Fragility During Extreme Flooding Events,selected,,output/topic_screening.json,"{""score"": 93, ""gap_type"": ""Problem Gap""}",2026-03-12T16:54:46.758181
GeoAI and Urban Planning,Quantifying the Impact of 15-Minute City Policy on Local Air Quality: A Spatiotemporal GeoAI Analysis,selected,,output/topic_screening.json,"{""score"": 92, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:54:46.759184
GeoAI and Urban Planning,GeoAI Analysis of Urban Segregation Dynamics using Multi-Source Mobility Data,selected,,output/topic_screening.json,"{""score"": 90, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:54:46.759184
Test Domain GeoAI,Quantifying the Causal Impact of Green Infrastructure on Neighborhood-Level Respiratory Health: A GeoAI-Enhanced Synthetic Control Approach,selected,,output/topic_screening.json,{"score": 96  "gap_type": "Measurement Gap"},2026-03-12T16:58:47.762643
Test Domain GeoAI,Predicting Regional Conflict Volatility: A Spatiotemporal Deep Learning Analysis of OSINT and Remote Sensing Proxies,selected,,output/topic_screening.json,{"score": 93  "gap_type": "Problem Gap"},2026-03-12T16:58:47.762643
Test Domain GeoAI,Machine Learning-Driven Mapping of Digital Twin Precision in Urban Climate Resilience Planning,selected,,output/topic_screening.json,{"score": 90  "gap_type": "Method Gap"},2026-03-12T16:58:47.762643
GeoAI and Urban Planning,Test Topic,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Problem Gap"},2026-03-12T17:00:06.610142
GeoAI and Urban Planning,Quantifying the Impact of Urban Heat Island Mitigation on Public Health Expenditure: A GeoAI-based Causal Inference Approach,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Measurement Gap"},2026-03-12T17:00:13.015753
GeoAI and Urban Planning,GeoAI-based Prediction of Urban Informal Settlement Expansion: Identifying Pre-emptive Land-Use Policy Levers,selected,,output/topic_screening.json,{"score": 92  "gap_type": "Problem Gap"},2026-03-12T17:00:13.015753
GeoAI and Urban Planning,The Causal Effect of Micro-Mobility Infrastructure on Local Retail Vitality: A GeoAI-enhanced Spatiotemporal Analysis,selected,,output/topic_screening.json,{"score": 89  "gap_type": "Method Gap"},2026-03-12T17:00:13.015753
GeoAI and Urban Planning,Quantifying the Causal Effect of Urban Tree Canopy Expansion on Residential Energy Consumption: A GeoAI-based Panel Analysis,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Measurement Gap"},2026-03-12T17:00:41.740761
GeoAI and Urban Planning,Predicting the Impact of Transit-Oriented Development (TOD) on Local SME Resilience: A GeoAI Spatiotemporal Approach,selected,,output/topic_screening.json,{"score": 92  "gap_type": "Problem Gap"},2026-03-12T17:00:41.740761
GeoAI and Urban Planning,GeoAI-driven Analysis of Street-Level Walkability and its Causal Impact on Physical Activity Patterns,selected,,output/topic_screening.json,{"score": 89  "gap_type": "Method Gap"},2026-03-12T17:00:41.741763
Urban studies and built environment and public health and urban informatics,Quantifying the Causal Effect of Urban Green Space Proximity on Mental Health Outcomes: A Longitudinal Quasi-Experimental Study,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Measurement Gap"},2026-03-12T17:26:17.810485
Urban studies and built environment and public health and urban informatics,The Impact of Heat Island Mitigation Strategies on Pediatric Asthma Emergency Visits: A Spatial Econometric Approach,selected,,output/topic_screening.json,{"score": 94  "gap_type": "Scale Gap"},2026-03-12T17:26:17.810485
Urban studies and built environment and public health and urban informatics,Digital Transformation of Transit Accessibility and Its Impact on Cardiovascular Health: A Synthetic Control Analysis,selected,,output/topic_screening.json,{"score": 92  "gap_type": "Method Gap"},2026-03-12T17:26:17.810485
urban informatics & public health,Quantifying the Causal Impact of Urban Green Space Density on Geriatric Depression Rates: A Multi-City Longitudinal Analysis,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Scale Gap"},2026-03-12T17:56:41.650126
urban informatics & public health,Quantifying the Causal Impact of Urban Green Space Expansion on Type 2 Diabetes Prevalence: A Longitudinal Quasi-Experimental Study,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Method Gap"},2026-03-12T17:56:41.651126
urban informatics & public health,Quantifying the Causal Impact of Green Infrastructure on Neighborhood-Level Respiratory Hospitalizations: A Synthetic Control Approach,selected,,output/topic_screening.json,{"score": 95  "gap_type": "Problem Gap"},2026-03-12T17:56:41.651126
urban informatics & public health,Quantifying the Longitudinal Impact of Public Transit Expansion on Cardiovascular Disease Incidence: A Difference-in-Differences Analysis,selected,,output/topic_screening.json,{"score": 35  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.285729
urban informatics & public health,Quantifying the Longitudinal Impact of Public Transit Expansion on Cardiovascular Disease Incidence: A Difference-in-Differences Analysis,discarded,CDC PLACES provides cross-sectional modeled estimates based on demographics  making it invalid for longitudinal causal inference (DiD) over a 10-year panel.,output/ideas_graveyard.json,{"score": 35  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.285729
urban informatics & public health,The Effect of Urban Heat Island Mitigation on Heat-Related Emergency Department Visits: A Regression Discontinuity Analysis,discarded,Methodological flaw: Regression Discontinuity Design using a temperature threshold as a forcing variable cannot estimate the effect of UHI mitigation  which is a spatial/structural intervention  not a threshold-triggered treatment.,output/ideas_graveyard.json,{"score": 20  "gap_type": "Problem Gap"},2026-03-15T15:18:30.285729
urban informatics & public health,Quantifying the Causal Impact of Public Transit Expansion on Cardiovascular Disease Incidence: A Difference-in-Differences Analysis,discarded,CMS Chronic Conditions Data Warehouse requires a strict Data Use Agreement (DUA) and payment; it is not openly accessible for automated pipeline extraction.,output/ideas_graveyard.json,{"score": 40  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.285729
urban informatics & public health,The Impact of Urban Heat Island Mitigation on Pediatric Asthma Exacerbations: A Synthetic Control Study,discarded,HCUP data requires purchasing and a DUA  and does not provide 1km x 1km grid cell level spatial resolution for emergency department visits due to privacy restrictions.,output/ideas_graveyard.json,{"score": 30  "gap_type": "Scale Gap"},2026-03-15T15:18:30.286728
urban informatics & public health,Digital Divide and Health Literacy: A Spatial Econometric Analysis of Telehealth Utilization during Public Health Crises,discarded,Proposed data sources (FCC  ACS) do not contain the required outcome variables (telehealth adoption rate  missed appointments).,output/ideas_graveyard.json,{"score": 25  "gap_type": "Method Gap"},2026-03-15T15:18:30.286728
urban informatics & public health,The Impact of Public Transit Expansion on Cardiovascular Disease Hospitalization Rates: A Quasi-Experimental Analysis of Urban Subway Extensions,discarded,CMS Hospitalization Data at the census tract level requires a Data Use Agreement (DUA) and is not openly accessible.,output/ideas_graveyard.json,{"score": 35  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.286728
urban informatics & public health,Quantifying the Association Between Urban Heat Island Intensity and Pediatric Asthma Exacerbations: A Multi-City Spatiotemporal Study,discarded,Hospital discharge data is not openly available at the proposed 500m x 500m daily resolution due to HIPAA and privacy restrictions.,output/ideas_graveyard.json,{"score": 45  "gap_type": "Scale Gap"},2026-03-15T15:18:30.287728
urban informatics & public health,Digital Divide and Healthcare Access: A Spatial Econometric Analysis of Telehealth Adoption in Aging Urban Populations,discarded,Proposed data sources (FCC  ACS) do not contain the outcome variables (telehealth adoption rates  HbA1c levels).,output/ideas_graveyard.json,{"score": 25  "gap_type": "Problem Gap"},2026-03-15T15:18:30.287728
urban informatics & public health,Quantifying the Impact of Public Transit Expansion on Cardiovascular Mortality: A Quasi-Experimental Analysis,discarded,CDC PLACES provides modeled estimates based on demographics  making it invalid for longitudinal causal inference (DiD) of local interventions.,output/ideas_graveyard.json,{"score": 35  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.287728
urban informatics & public health,The Causal Effect of Urban Heat Island Mitigation on Heat-Related Emergency Department Admissions: A Spatial Econometric Study,discarded,Daily ED visit counts at 1km x 1km resolution are not publicly available on State Health Department portals due to privacy restrictions.,output/ideas_graveyard.json,{"score": 40  "gap_type": "Scale Gap"},2026-03-15T15:18:30.287728
urban informatics & public health,Digital Infrastructure and Mental Health: A Quantitative Assessment of Broadband Access and Depression Rates,discarded,County Health Rankings depression data relies on modeled estimates  and the proposed instrumental variable (historical telephone exchange boundaries) is not supported by the listed data sources.,output/ideas_graveyard.json,{"score": 30  "gap_type": "Problem Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,Impact of Public Transit Expansion on Cardiovascular Disease Hospitalization Rates: A Quasi-Experimental Analysis,discarded,Proposed data sources (ACS  National Transit Database) do not contain the outcome variable (cardiovascular hospital admission rates).,output/ideas_graveyard.json,{"score": 25  "gap_type": "Method Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,Mapping the Urban Heat Island Effect on Pediatric Asthma Exacerbations: A Spatiotemporal Modeling Approach,discarded,No data source provided for the primary outcome variable (pediatric asthma emergency department visits).,output/ideas_graveyard.json,{"score": 20  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,Digital Divide and Telehealth Utilization Patterns in Geriatric Populations: A Multi-City Longitudinal Study,discarded,Medicare Current Beneficiary Survey (MCBS) public-use files do not provide census block group level geographic identifiers due to privacy restrictions.,output/ideas_graveyard.json,{"score": 35  "gap_type": "Scale Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,The Impact of Public Transit Accessibility on Chronic Disease Management: A Longitudinal Analysis of Healthcare Utilization,discarded,CMS Medicare/Medicaid Claims Data requires a Data Use Agreement (DUA) and payment; it is not openly accessible.,output/ideas_graveyard.json,{"score": 40  "gap_type": "Measurement Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,Quantifying the Causal Effect of Urban Heat Island Mitigation on Pediatric Asthma Exacerbations: A Synthetic Control Study,discarded,Pediatric asthma hospitalizations at 1km grid cell resolution are not publicly available on local health department portals due to privacy laws.,output/ideas_graveyard.json,{"score": 35  "gap_type": "Problem Gap"},2026-03-15T15:18:30.288450
urban informatics & public health,Digital Divide and Health Literacy: A Spatial Econometric Analysis of Telehealth Adoption in Urban Centers,discarded,Proposed data sources (FCC  ACS) do not contain the outcome variables (telehealth adoption rates  missed appointment rates).,output/ideas_graveyard.json,{"score": 25  "gap_type": "Scale Gap"},2026-03-15T15:18:30.288450
GeoAI and Urban Planning,Test Topic,selected,,output/topic_screening.json,{"score": 90  "gap_type": "Problem Gap"  "run_id": "20260315T154503Z-60f0d8"},2026-03-15T15:45:03.795373
GeoAI and Urban Planning,Test Topic,selected,,output/topic_screening.json,{"score": 90  "gap_type": "Problem Gap"  "run_id": "20260315T154716Z-b8c2bd"},2026-03-15T15:47:16.222945
Test Domain GeoAI,Predicting Groundwater Depletion Through Physics-Informed GeoAI and Time-Series Satellite Data,selected,,output/topic_screening.json,{"score": 94  "gap_type": "Method Gap"  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.855888
Test Domain GeoAI,Dynamic Cartography of Post-Conflict Reconstruction: A Multi-Source GeoAI Analysis,selected,,output/topic_screening.json,{"score": 91  "gap_type": "Measurement Gap"  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.855888
Test Domain GeoAI,A GeoAI Approach to Assessing the Impact of Renewable Energy Infrastructure on Local Biodiversity,selected,,output/topic_screening.json,{"score": 88  "gap_type": "Method and Scale Gap"  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.855888
Test Domain GeoAI,Quantum-Resistant Geospatial Cryptography for Secure Decentralized AI Networks,discarded,Data availability - Lacks clear  freely accessible empirical geospatial datasets for testing quantum resistance at scale.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.855888
Test Domain GeoAI,Cross-Modal GeoAI Fusion for Predicting Zoonotic Spillover Risk Using Satellite Imagery and Social Media Trends,discarded,Data availability - Relies on geolocated social media trends which are increasingly restricted and not freely available at scale.,output/ideas_graveyard.json,{"score": 65  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Causal Inference of Urban Design on Social Cohesion: A GeoAI Approach Using Street-Level Computer Vision,discarded,Data availability - Google Street View imagery is commercial and restricted; Quantitative operability - social cohesion is difficult to measure objectively.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Automated Detection of Informal Settlements Using Deep Learning and Multi-Temporal SAR Data,discarded,Novelty - Automated detection of informal settlements using SAR is a highly saturated and well-explored topic.,output/ideas_graveyard.json,{"score": 60  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Modeling the Spatiotemporal Propagation of Misinformation During Natural Disasters Using Graph Neural Networks,discarded,Data availability - Twitter/social media metadata is no longer freely accessible for large-scale academic scraping.,output/ideas_graveyard.json,{"score": 62  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Evaluating the Impact of Digital Twin Fidelity on Energy Efficiency in Smart Buildings,discarded,Data availability - Lack of large-scale  freely accessible public datasets for smart building digital twins and internal energy sensors.,output/ideas_graveyard.json,{"score": 58  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Sentiment-Based GeoAI Analysis of Public Response to Climate Mitigation Policies,discarded,Data availability - Relies on localized text streams/social media which are increasingly restricted and not freely available.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Geo-Spatial Feature Engineering for Predicting Food Insecurity Hotspots via Remote Sensing,discarded,Novelty - Predicting food insecurity using vegetation indices and crop prices is a well-established and saturated methodology.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Privacy-Preserving Federated Learning for Collaborative Geospatial Data Management,discarded,Data availability - Relies on sensitive healthcare data which is explicitly not freely accessible to the public.,output/ideas_graveyard.json,{"score": 60  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Quantifying the Influence of Urban Canopy Cover on Local Cognitive Performance: A Geo-Psychology Study,discarded,Data availability - Geolocated cognitive health datasets are highly restricted due to privacy laws and not freely available.,output/ideas_graveyard.json,{"score": 65  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Deep Reinforcement Learning for Dynamic Traffic Optimization in Multi-Modal Smart Transport Networks,discarded,Novelty - Deep reinforcement learning for traffic optimization is a highly saturated field with limited new methodological contributions.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,AI-Driven Detection of Illegal Mining Activities Using Temporal Satellite Image Sequences,discarded,Novelty - Change detection for mining using satellite imagery is a standard  heavily explored application.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Mapping the Digital Divide: A GeoAI Analysis of Connectivity Infrastructure and Socioeconomic Status,discarded,Novelty - Layering broadband maps with census data is a basic GIS task  lacking advanced GeoAI novelty.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Explainable GeoAI: Interpreting Model Predictions for Urban Flood Risk Assessment,discarded,Novelty - Applying standard XAI tools like SHAP/LIME to flood risk models is an incremental and saturated approach.,output/ideas_graveyard.json,{"score": 58  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Predicting Air Quality Trends in Megacities using Graph Convolutional Networks (GCNs),discarded,Novelty - Using Graph Convolutional Networks for air quality prediction is a highly crowded and saturated research area.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Spatio-Temporal Analysis of Public Transit Accessibility and Economic Opportunity,discarded,Novelty - Transit accessibility and economic opportunity analysis is a fundamental and saturated urban planning topic.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.859004
Test Domain GeoAI,Automated Extraction of Road Network Topology from Satellite Imagery for Emergency Logistics,discarded,Novelty - Road network extraction from satellite imagery is a highly saturated and mature computer vision problem.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.861008
Test Domain GeoAI,GeoAI-Enhanced Analysis of Housing Price Volatility and Urban Gentrification,discarded,Novelty - Predicting housing prices and gentrification using ML and spatial data is a well-explored domain.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.861008
Test Domain GeoAI,Predicting Regional Crop Yields Using Multi-Scale Data Fusion and Deep Learning,discarded,Novelty - Crop yield prediction via deep learning and satellite data fusion is a highly saturated research area.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.861008
Test Domain GeoAI,Geo-Targeting Public Health Interventions: An AI-Driven Risk Assessment for Infectious Diseases,discarded,Novelty - Spatial clustering for vector-borne disease risk is a standard  well-documented epidemiological method.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,Assessing the Resilience of Global Supply Chains via Spatiotemporal Network Analysis,discarded,Data availability - High-resolution  global historical AIS maritime tracking data is typically commercial and not freely available.,output/ideas_graveyard.json,{"score": 60  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,Human-AI Collaboration in Participatory GIS: A Case Study in Neighborhood Planning,discarded,Quantitative operability - Relies on subjective human-computer interaction evaluations rather than objective  automated metrics.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,Mapping Urban Heat Island Dynamics Using High-Resolution Thermal Satellite Imagery and GeoAI,discarded,Novelty - Mapping Urban Heat Islands using thermal imagery and AI is a highly saturated and standard application.,output/ideas_graveyard.json,{"score": 55  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,GeoAI for Monitoring Wetland Restoration: A Long-Term Change Detection Analysis,discarded,Novelty - Long-term change detection for wetland monitoring is a standard and well-explored remote sensing task.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,Predicting Crime Hotspots through Environmental Criminology and GeoAI,discarded,Novelty - Crime hotspot prediction using environmental factors and spatial analysis is a highly saturated field.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
Test Domain GeoAI,Evaluating the Sustainability of Global Tourism via Satellite-Derived Human Mobility Patterns,discarded,Data availability - Global-scale anonymized human mobility data is highly commercial  restricted  and not freely available.,output/ideas_graveyard.json,{"score": 65  "run_id": "20260315T154517Z-42e151"},2026-03-15T15:47:51.863013
GeoAI and Urban Planning,Test Topic,selected,,output/topic_screening.json,{"score": 90  "gap_type": "Problem Gap"  "run_id": "20260315T154936Z-fca7b8"},2026-03-15T15:49:36.635190
urban informatics & public health,Urban Heat Islands and Mental Health: A Quantitative Study of Temperature and Mental Health Crisis Calls,selected,,output/topic_screening.json,{"score": 92  "gap_type": "Measurement and Scale Gap"  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Longitudinal Association Between Urban Heat Island Intensity and Emergency Medical Service Call Volumes,selected,,output/topic_screening.json,{"score": 89  "gap_type": "Scale and Measurement Gap"  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Quantifying the Association Between Urban Green Space Connectivity and Age-Specific Mortality: A Geospatial Analysis of 500 Largest US Cities,discarded,CDC PLACES data consists of modeled estimates derived from demographics and spatial smoothing  making it invalid as an outcome variable for spatial regression against environmental factors like green space connectivity.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Nighttime Light Pollution on Sleep-Related Health Outcomes: A Cross-Sectional Analysis of Urban Satellite Imagery and Behavioral Risk Factor Surveillance,discarded,Public BRFSS data lacks the fine-grained geographic identifiers (e.g.  census tract or block group) required to meaningfully link individual sleep outcomes with localized VIIRS nighttime light pollution data.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Public Library Proximity and Adolescent Mental Health: A Multilevel Modeling Study of Urban Neighborhoods,discarded,Publicly available youth health surveys (e.g.  YRBS) do not provide the neighborhood-level geographic identifiers necessary to calculate proximity to public libraries due to strict privacy protections.,output/ideas_graveyard.json,{"score": 25  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Role of Urban Food Environment Transitions in Longitudinal Diabetes Prevalence: A Synthetic Control Approach,discarded,True longitudinal data on diabetes prevalence at the neighborhood or city level is not publicly available; existing public datasets like CDC PLACES provide modeled  cross-sectional estimates unsuitable for Synthetic Control methods.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Assessing the Impact of Urban Canopy Cover on Respiratory Health Equity: A Multi-Scale Spatiotemporal Analysis,discarded,Publicly available census-tract level asthma prevalence data (e.g.  CDC PLACES) relies on modeled estimates rather than direct observations  making it invalid for spatiotemporal causal analysis.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Influence of Street Network Design on Active Commuting and Physical Activity Levels: A Comparative Study of US Metropolitan Areas,discarded,Aggregating street network design metrics to the Metropolitan Statistical Area (MSA) level to match public BRFSS data washes out the hyper-local variance necessary to study active commuting.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Public Transit Frequency and Healthcare Accessibility for Older Adults: A Network Analysis of Transit-Oriented Development,discarded,The study only measures spatial accessibility (travel time) without linking to actual healthcare utilization or health outcomes  resulting in low novelty and limited clinical impact.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Urban Noise Pollution and Hypertension: A Spatial Analysis of Traffic Proximity and Health Outcomes,discarded,City-level hypertension rates are too geographically coarse to correlate with highly localized traffic noise exposure models  leading to severe ecological fallacy.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Quantifying the Impact of Bike Share System Expansion on Population-Level Cardiovascular Health,discarded,Public health survey data (e.g.  BRFSS) lacks the statistical power and longitudinal individual tracking required to detect the marginal cardiovascular benefits of bike-share expansions in a Difference-in-Differences framework.,output/ideas_graveyard.json,{"score": 40  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Relationship Between Walkability Indices and Social Isolation in Urban Geriatric Populations,discarded,The American Community Survey (ACS) does not contain direct metrics for social isolation; variables like 'living alone' are inadequate proxies for geriatric social isolation.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Housing Quality and Pediatric Lead Exposure: A Spatiotemporal Modeling of Historical Building Stock and Health Records,discarded,Pediatric blood lead level surveillance data is highly protected under privacy laws and is rarely available publicly at the fine spatiotemporal resolution required for this modeling.,output/ideas_graveyard.json,{"score": 45  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Impact of Urban Park Renovations on Local Crime and Health: A Quasi-Experimental Study,discarded,The proposal lacks a clear  publicly available health outcome dataset  relying solely on police incident data which primarily addresses criminology rather than public health.,output/ideas_graveyard.json,{"score": 50  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,The Effect of Urban Density on Infectious Disease Transmission Dynamics: A Comparative Analysis of Metropolitan Areas,discarded,The topic is overly broad and lacks novelty; the relationship between urban density and infectious disease transmission has been extensively saturated in recent literature.,output/ideas_graveyard.json,{"score": 35  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
urban informatics & public health,Urban Infrastructure and Mental Health: A Study of Roadway Connectivity and Depression Rates,discarded,Neighborhood-level depression rates in public datasets (like CDC PLACES) are modeled from demographics rather than directly measured  making them invalid for spatial analysis against infrastructure.,output/ideas_graveyard.json,{"score": 30  "run_id": "20260315T154806Z-2d8477"},2026-03-15T15:50:17.447163
